Hour,Solar PV Generation (MW),Solar PV Curtailment (MW),Wind Generation (MW),Wind Curtailment (MW),Gas CC Generation (MW),Power from Storage and Gas CC to Storage (MW)
405,0.0,0.0,0.0,0.0,30758.742,3960.4979999999996
406,0.0,0.0,0.0,0.0,30758.742,5561.881000000001
407,0.0,0.0,0.0,0.0,30758.742,7664.343999999999
408,0.0,0.0,0.0,0.0,30758.742,9511.475999999995
409,0.0,0.0,0.0,0.0,30758.742,10738.678
410,0.0,0.0,0.0,0.0,30758.742,11787.193
411,0.0,0.0,0.0,0.0,30758.742,12385.107999999993
412,0.0,0.0,0.0,0.0,30758.742,12443.828000000001
413,0.0,0.0,0.0,0.0,30758.742,11860.805999999997
414,0.0,0.0,0.0,0.0,30758.742,10141.238
415,0.0,0.0,0.0,0.0,30758.742,7280.009999999995
416,0.0,0.0,0.0,0.0,30758.742,5725.43
417,0.0,0.0,0.0,0.0,30758.742,6075.942999999999
418,0.0,0.0,0.0,0.0,30758.742,6379.21391
419,0.0,0.0,0.0,0.0,30758.742,6775.008000000002
420,0.0,0.0,0.0,0.0,30758.742,7120.0509999999995
421,0.0,0.0,0.0,0.0,30758.742,7541.723000000002
422,0.0,0.0,0.0,0.0,30758.742,8040.754999999999
423,0.0,0.0,0.0,0.0,30758.742,8499.771999999997
424,0.0,0.0,0.0,0.0,30758.742,8078.526599999999
425,0.0,0.0,0.0,0.0,30758.742,6823.300000000003
426,0.0,0.0,0.0,0.0,30758.742,4856.036
427,0.0,0.0,0.0,0.0,30758.742,4460.557000000001
428,0.0,0.0,0.0,0.0,30758.742,4960.9405
429,0.0,0.0,0.0,0.0,30758.742,5468.699999999997
430,0.0,0.0,0.0,0.0,30758.742,6450.972500000001
431,0.0,0.0,0.0,0.0,30758.742,7712.0
432,0.0,0.0,0.0,0.0,30758.742,9444.382000000001
433,0.0,0.0,0.0,0.0,30758.742,10807.797999999995
434,0.0,0.0,0.0,0.0,30758.742,11908.129999999997
435,0.0,0.0,0.0,0.0,30758.742,12451.831999999995
436,0.0,0.0,0.0,0.0,30758.742,12876.782000000007
437,0.0,0.0,0.0,0.0,30758.742,12705.318
438,0.0,0.0,0.0,0.0,30758.742,12114.563999999998
439,0.0,0.0,0.0,0.0,30758.742,10852.101999999999
440,0.0,0.0,0.0,0.0,30758.742,10119.225999999995
441,0.0,0.0,0.0,0.0,30758.742,10030.686999999998
442,0.0,0.0,0.0,0.0,30758.742,10561.875999999997
443,0.0,0.0,0.0,0.0,30758.742,11155.032000000007
444,0.0,0.0,0.0,0.0,30758.742,11686.284
445,0.0,0.0,0.0,0.0,30758.742,11989.484000000004
446,0.0,0.0,0.0,0.0,30758.742,11683.414999999994
447,0.0,0.0,0.0,0.0,30758.742,11275.665
448,0.0,0.0,0.0,0.0,30758.742,10947.981
449,0.0,0.0,0.0,0.0,30758.742,9655.112000000001
450,0.0,0.0,0.0,0.0,30758.742,7408.3602
451,0.0,0.0,0.0,0.0,30758.742,6988.1600000000035
452,0.0,0.0,0.0,0.0,30758.742,7198.369999999999
453,0.0,0.0,0.0,0.0,30758.742,7457.734
454,0.0,0.0,0.0,0.0,30758.742,8187.559999999998
455,0.0,0.0,0.0,0.0,30758.742,9341.240000000005
456,0.0,0.0,0.0,0.0,30758.742,10983.608
457,0.0,0.0,0.0,0.0,30758.742,11947.506000000001
458,0.0,0.0,0.0,0.0,30758.742,12834.682
459,0.0,0.0,0.0,0.0,30758.742,13361.861999999994
460,0.0,0.0,0.0,0.0,30758.742,13806.070000000007
461,0.0,0.0,0.0,0.0,30758.742,13699.767999999996
462,0.0,0.0,0.0,0.0,30758.742,13339.535999999993
463,0.0,0.0,0.0,0.0,30758.742,12453.622000000003
464,0.0,0.0,0.0,0.0,30758.742,11885.656000000003
465,0.0,0.0,0.0,0.0,30758.742,11089.771999999997
466,0.0,0.0,0.0,0.0,30758.742,11071.173999999999
467,0.0,0.0,0.0,0.0,30758.742,11384.460000000006
468,0.0,0.0,0.0,0.0,30758.742,11686.449999999997
469,0.0,0.0,0.0,0.0,30758.742,11574.907999999996
470,0.0,0.0,0.0,0.0,30758.742,11357.262000000002
471,0.0,0.0,0.0,0.0,30758.742,10902.176
